base_currency,target_currency,rate,rate_date
USD,AUD,1.488,2023-04-05
USD,AUD,1.4988,2023-04-06
USD,AUD,1.4995,2023-04-07
USD,AUD,1.5063,2023-04-10
USD,AUD,1.5029,2023-04-11
USD,AUD,1.495,2023-04-12
USD,AUD,1.4747,2023-04-13
USD,AUD,1.4906,2023-04-14
USD,AUD,1.4924,2023-04-17
USD,AUD,1.4875,2023-04-18
USD,AUD,1.4897,2023-04-19
USD,AUD,1.4835,2023-04-20
USD,AUD,1.4946,2023-04-21
USD,AUD,1.4932,2023-04-24
USD,AUD,1.5092,2023-04-25
USD,AUD,1.5154,2023-04-26
USD,AUD,1.5081,2023-04-27
USD,AUD,1.5115,2023-04-28
USD,AUD,1.5082,2023-05-01
USD,AUD,1.5004,2023-05-02
USD,AUD,1.4993,2023-05-03
USD,AUD,1.494,2023-05-04
USD,AUD,1.4811,2023-05-05
USD,AUD,1.4743,2023-05-08
USD,AUD,1.4791,2023-05-09
USD,AUD,1.4752,2023-05-10
USD,AUD,1.4921,2023-05-11
USD,AUD,1.5045,2023-05-12
USD,AUD,1.4925,2023-05-15
USD,AUD,1.5024,2023-05-16
USD,AUD,1.5015,2023-05-17
USD,AUD,1.5111,2023-05-18
USD,AUD,1.5036,2023-05-19
USD,AUD,1.5029,2023-05-22
USD,AUD,1.5129,2023-05-23
USD,AUD,1.5282,2023-05-24
USD,AUD,1.5373,2023-05-25
USD,AUD,1.5343,2023-05-26
USD,AUD,1.5296,2023-05-29
USD,AUD,1.5343,2023-05-30
USD,AUD,1.5378,2023-05-31
USD,AUD,1.5218,2023-06-01
USD,AUD,1.5124,2023-06-02
USD,AUD,1.5112,2023-06-05
USD,AUD,1.4991,2023-06-06
USD,AUD,1.5034,2023-06-07
USD,AUD,1.489,2023-06-08
USD,AUD,1.4837,2023-06-09
USD,AUD,1.4814,2023-06-12
USD,AUD,1.4779,2023-06-13
USD,AUD,1.4716,2023-06-14
USD,AUD,1.4522,2023-06-15
USD,AUD,1.455,2023-06-16
USD,AUD,1.4599,2023-06-19
USD,AUD,1.4741,2023-06-20
USD,AUD,1.4714,2023-06-21
USD,AUD,1.4801,2023-06-22
USD,AUD,1.4975,2023-06-23
USD,AUD,1.4991,2023-06-26
USD,AUD,1.4959,2023-06-27
USD,AUD,1.5154,2023-06-28
USD,AUD,1.5114,2023-06-29
USD,AUD,1.5,2023-06-30
USD,AUD,1.4991,2023-07-03
USD,AUD,1.4943,2023-07-04
USD,AUD,1.5028,2023-07-05
USD,AUD,1.5092,2023-07-06
USD,AUD,1.4948,2023-07-07
USD,AUD,1.498,2023-07-10
USD,AUD,1.4955,2023-07-11
USD,AUD,1.4731,2023-07-12
USD,AUD,1.4516,2023-07-13
USD,AUD,1.4622,2023-07-14
USD,AUD,1.4672,2023-07-17
USD,AUD,1.4674,2023-07-18
USD,AUD,1.476,2023-07-19
USD,AUD,1.475,2023-07-20
USD,AUD,1.4863,2023-07-21
USD,AUD,1.4837,2023-07-24
USD,AUD,1.4724,2023-07-25
USD,AUD,1.4798,2023-07-26
USD,AUD,1.4905,2023-07-27
USD,AUD,1.5038,2023-07-28
USD,AUD,1.4887,2023-07-31
USD,AUD,1.5121,2023-08-01
USD,AUD,1.5295,2023-08-02
USD,AUD,1.5261,2023-08-03
USD,AUD,1.522,2023-08-04
USD,AUD,1.5214,2023-08-07
USD,AUD,1.5282,2023-08-08
USD,AUD,1.532,2023-08-09
USD,AUD,1.5348,2023-08-10
USD,AUD,1.5387,2023-08-11
USD,AUD,1.5416,2023-08-14
USD,AUD,1.5492,2023-08-15
USD,AUD,1.5565,2023-08-16
USD,AUD,1.5616,2023-08-17
USD,AUD,1.5616,2023-08-18
USD,AUD,1.5594,2023-08-21
USD,AUD,1.5572,2023-08-22
USD,AUD,1.544,2023-08-23
USD,AUD,1.5582,2023-08-24
USD,AUD,1.5623,2023-08-25
USD,AUD,1.5554,2023-08-28
USD,AUD,1.5431,2023-08-29
USD,AUD,1.544,2023-08-30
USD,AUD,1.5423,2023-08-31
USD,AUD,1.5499,2023-09-01
USD,AUD,1.5483,2023-09-04
USD,AUD,1.5672,2023-09-05
USD,AUD,1.5666,2023-09-06
USD,AUD,1.5682,2023-09-07
USD,AUD,1.5683,2023-09-08
USD,AUD,1.5548,2023-09-11
USD,AUD,1.5567,2023-09-12
USD,AUD,1.5572,2023-09-13
USD,AUD,1.5527,2023-09-14
USD,AUD,1.5545,2023-09-15
USD,AUD,1.5536,2023-09-18
USD,AUD,1.5492,2023-09-19
USD,AUD,1.5514,2023-09-20
USD,AUD,1.5582,2023-09-21
USD,AUD,1.5524,2023-09-22
USD,AUD,1.5567,2023-09-25
USD,AUD,1.5634,2023-09-26
USD,AUD,1.5741,2023-09-27
USD,AUD,1.5564,2023-09-28
USD,AUD,1.554,2023-09-29
USD,AUD,1.5716,2023-10-02
USD,AUD,1.5868,2023-10-03
USD,AUD,1.5813,2023-10-04
USD,AUD,1.5699,2023-10-05
USD,AUD,1.5665,2023-10-06
USD,AUD,1.56,2023-10-09
USD,AUD,1.5549,2023-10-10
USD,AUD,1.5592,2023-10-11
USD,AUD,1.5837,2023-10-12
USD,AUD,1.5894,2023-10-13
USD,AUD,1.5766,2023-10-16
USD,AUD,1.5714,2023-10-17
USD,AUD,1.5782,2023-10-18
USD,AUD,1.5801,2023-10-19
USD,AUD,1.5836,2023-10-20
USD,AUD,1.578,2023-10-23
USD,AUD,1.5735,2023-10-24
USD,AUD,1.5852,2023-10-25
USD,AUD,1.5819,2023-10-26
USD,AUD,1.5787,2023-10-27
USD,AUD,1.5687,2023-10-30
USD,AUD,1.5781,2023-10-31
USD,AUD,1.5643,2023-11-01
USD,AUD,1.5541,2023-11-02
USD,AUD,1.5355,2023-11-03
USD,AUD,1.5411,2023-11-06
USD,AUD,1.5534,2023-11-07
USD,AUD,1.5621,2023-11-08
USD,AUD,1.5709,2023-11-09
USD,AUD,1.5711,2023-11-10
USD,AUD,1.5682,2023-11-13
USD,AUD,1.5368,2023-11-14
USD,AUD,1.5365,2023-11-15
USD,AUD,1.5454,2023-11-16
USD,AUD,1.5364,2023-11-17
USD,AUD,1.5252,2023-11-20
USD,AUD,1.5256,2023-11-21
USD,AUD,1.5286,2023-11-22
USD,AUD,1.5249,2023-11-23
USD,AUD,1.5192,2023-11-24
USD,AUD,1.5136,2023-11-27
USD,AUD,1.504,2023-11-28
USD,AUD,1.5111,2023-11-29
USD,AUD,1.514,2023-11-30
USD,AUD,1.4982,2023-12-01
USD,AUD,1.5107,2023-12-04
USD,AUD,1.5262,2023-12-05
USD,AUD,1.5271,2023-12-06
USD,AUD,1.5146,2023-12-07
USD,AUD,1.5205,2023-12-08
USD,AUD,1.5227,2023-12-11
USD,AUD,1.5245,2023-12-12
USD,AUD,1.5013,2023-12-13
USD,AUD,1.4927,2023-12-14
USD,AUD,1.4932,2023-12-15
USD,AUD,1.4911,2023-12-18
USD,AUD,1.4789,2023-12-19
USD,AUD,1.4858,2023-12-20
USD,AUD,1.4702,2023-12-21
USD,AUD,1.4706,2023-12-22
USD,AUD,1.4713,2023-12-25
USD,AUD,1.4653,2023-12-26
USD,AUD,1.4605,2023-12-27
USD,AUD,1.4641,2023-12-28
USD,AUD,1.4682,2023-12-29
USD,AUD,1.468,2024-01-01
USD,AUD,1.479,2024-01-02
USD,AUD,1.4855,2024-01-03
USD,AUD,1.491,2024-01-04
USD,AUD,1.4894,2024-01-05
USD,AUD,1.4881,2024-01-08
USD,AUD,1.4952,2024-01-09
USD,AUD,1.4926,2024-01-10
USD,AUD,1.4952,2024-01-11
USD,AUD,1.4957,2024-01-12
USD,AUD,1.5013,2024-01-15
USD,AUD,1.5188,2024-01-16
USD,AUD,1.5262,2024-01-17
USD,AUD,1.5216,2024-01-18
USD,AUD,1.5156,2024-01-19
USD,AUD,1.522,2024-01-22
USD,AUD,1.5196,2024-01-23
USD,AUD,1.5205,2024-01-24
USD,AUD,1.5191,2024-01-25
USD,AUD,1.5209,2024-01-26
USD,AUD,1.5127,2024-01-29
USD,AUD,1.5147,2024-01-30
USD,AUD,1.523,2024-01-31
USD,AUD,1.5216,2024-02-01
USD,AUD,1.5353,2024-02-02
USD,AUD,1.5425,2024-02-05
USD,AUD,1.5329,2024-02-06
USD,AUD,1.5336,2024-02-07
USD,AUD,1.5405,2024-02-08
USD,AUD,1.5328,2024-02-09
USD,AUD,1.5314,2024-02-12
USD,AUD,1.5496,2024-02-13
USD,AUD,1.5405,2024-02-14
USD,AUD,1.5327,2024-02-15
USD,AUD,1.531,2024-02-16
USD,AUD,1.5292,2024-02-19
USD,AUD,1.5271,2024-02-20
USD,AUD,1.5262,2024-02-21
USD,AUD,1.5258,2024-02-22
USD,AUD,1.5242,2024-02-23
USD,AUD,1.529,2024-02-26
USD,AUD,1.5282,2024-02-27
USD,AUD,1.5391,2024-02-28
USD,AUD,1.5389,2024-02-29
USD,AUD,1.5329,2024-03-01
USD,AUD,1.5357,2024-03-04
USD,AUD,1.5376,2024-03-05
USD,AUD,1.5235,2024-03-06
USD,AUD,1.5106,2024-03-07
USD,AUD,1.5088,2024-03-08
USD,AUD,1.5121,2024-03-11
USD,AUD,1.5137,2024-03-12
USD,AUD,1.5106,2024-03-13
USD,AUD,1.5196,2024-03-14
USD,AUD,1.5242,2024-03-15
USD,AUD,1.5244,2024-03-18
USD,AUD,1.5314,2024-03-19
USD,AUD,1.5183,2024-03-20
USD,AUD,1.5221,2024-03-21
USD,AUD,1.535,2024-03-22
USD,AUD,1.5291,2024-03-25
USD,AUD,1.5307,2024-03-26
USD,AUD,1.5304,2024-03-27
USD,AUD,1.5347,2024-03-28
USD,AUD,1.5333,2024-03-29
USD,AUD,1.5409,2024-04-01
USD,AUD,1.5342,2024-04-02
USD,AUD,1.5235,2024-04-03
USD,AUD,1.518,2024-04-04
USD,AUD,1.52,2024-04-05
USD,AUD,1.5142,2024-04-08
USD,AUD,1.5087,2024-04-09
USD,AUD,1.5354,2024-04-10
USD,AUD,1.5297,2024-04-11
USD,AUD,1.5474,2024-04-12
USD,AUD,1.5522,2024-04-15
USD,AUD,1.5622,2024-04-16
USD,AUD,1.554,2024-04-17
USD,AUD,1.5574,2024-04-18
USD,AUD,1.5582,2024-04-19
USD,AUD,1.5504,2024-04-22
USD,AUD,1.5416,2024-04-23
USD,AUD,1.5391,2024-04-24
USD,AUD,1.5342,2024-04-25
USD,AUD,1.5306,2024-04-26
USD,AUD,1.5229,2024-04-29
USD,AUD,1.5449,2024-04-30
USD,AUD,1.5331,2024-05-01
USD,AUD,1.5235,2024-05-02
USD,AUD,1.5129,2024-05-03
USD,AUD,1.5095,2024-05-06
USD,AUD,1.5158,2024-05-07
USD,AUD,1.5199,2024-05-08
USD,AUD,1.5106,2024-05-09
USD,AUD,1.5147,2024-05-10
USD,AUD,1.5133,2024-05-13
USD,AUD,1.5097,2024-05-14
USD,AUD,1.494,2024-05-15
USD,AUD,1.4975,2024-05-16
USD,AUD,1.4941,2024-05-17
USD,AUD,1.4997,2024-05-20
USD,AUD,1.5003,2024-05-21
USD,AUD,1.5107,2024-05-22
USD,AUD,1.5138,2024-05-23
USD,AUD,1.5088,2024-05-24
USD,AUD,1.5031,2024-05-27
USD,AUD,1.5039,2024-05-28
USD,AUD,1.5128,2024-05-29
USD,AUD,1.5075,2024-05-30
USD,AUD,1.5031,2024-05-31
USD,AUD,1.495,2024-06-03
USD,AUD,1.5049,2024-06-04
USD,AUD,1.5042,2024-06-05
USD,AUD,1.5003,2024-06-06
USD,AUD,1.5191,2024-06-07
USD,AUD,1.5129,2024-06-10
USD,AUD,1.5127,2024-06-11
USD,AUD,1.5006,2024-06-12
USD,AUD,1.507,2024-06-13
USD,AUD,1.5116,2024-06-14
USD,AUD,1.5122,2024-06-17
USD,AUD,1.5024,2024-06-18
USD,AUD,1.4988,2024-06-19
USD,AUD,1.5026,2024-06-20
USD,AUD,1.5058,2024-06-21
USD,AUD,1.5021,2024-06-24
USD,AUD,1.5047,2024-06-25
USD,AUD,1.5043,2024-06-26
USD,AUD,1.5045,2024-06-27
USD,AUD,1.4997,2024-06-28
USD,AUD,1.5014,2024-07-01
USD,AUD,1.5,2024-07-02
USD,AUD,1.4917,2024-07-03
USD,AUD,1.4865,2024-07-04
USD,AUD,1.4815,2024-07-05
USD,AUD,1.4842,2024-07-08
USD,AUD,1.4836,2024-07-09
USD,AUD,1.482,2024-07-10
USD,AUD,1.4793,2024-07-11
USD,AUD,1.4741,2024-07-12
USD,AUD,1.4793,2024-07-15
USD,AUD,1.485,2024-07-16
USD,AUD,1.4859,2024-07-17
USD,AUD,1.4912,2024-07-18
USD,AUD,1.4964,2024-07-19
USD,AUD,1.5054,2024-07-22
USD,AUD,1.5117,2024-07-23
USD,AUD,1.5196,2024-07-24
USD,AUD,1.5293,2024-07-25
USD,AUD,1.5272,2024-07-26
USD,AUD,1.527,2024-07-29
USD,AUD,1.5296,2024-07-30
USD,AUD,1.5289,2024-07-31
USD,AUD,1.5381,2024-08-01
USD,AUD,1.5361,2024-08-02
USD,AUD,1.5389,2024-08-05
USD,AUD,1.5336,2024-08-06
USD,AUD,1.5337,2024-08-07
USD,AUD,1.5169,2024-08-08
USD,AUD,1.5215,2024-08-09
USD,AUD,1.5183,2024-08-12
USD,AUD,1.5074,2024-08-13
USD,AUD,1.516,2024-08-14
USD,AUD,1.5123,2024-08-15
USD,AUD,1.4995,2024-08-16
USD,AUD,1.4853,2024-08-19
USD,AUD,1.4828,2024-08-20
USD,AUD,1.4829,2024-08-21
USD,AUD,1.4913,2024-08-22
USD,AUD,1.472,2024-08-23
USD,AUD,1.4768,2024-08-26
USD,AUD,1.4722,2024-08-27
USD,AUD,1.4737,2024-08-28
USD,AUD,1.471,2024-08-29
USD,AUD,1.4783,2024-08-30
USD,AUD,1.4726,2024-09-02
USD,AUD,1.4901,2024-09-03
USD,AUD,1.4871,2024-09-04
USD,AUD,1.4836,2024-09-05
USD,AUD,1.4992,2024-09-06
USD,AUD,1.5014,2024-09-09
USD,AUD,1.5033,2024-09-10
USD,AUD,1.4983,2024-09-11
USD,AUD,1.4876,2024-09-12
USD,AUD,1.4918,2024-09-13
USD,AUD,1.4812,2024-09-16
USD,AUD,1.4803,2024-09-17
USD,AUD,1.4784,2024-09-18
USD,AUD,1.4673,2024-09-19
USD,AUD,1.4692,2024-09-20
USD,AUD,1.4623,2024-09-23
USD,AUD,1.4511,2024-09-24
USD,AUD,1.4656,2024-09-25
USD,AUD,1.4502,2024-09-26
USD,AUD,1.4488,2024-09-27
USD,AUD,1.4467,2024-09-30
USD,AUD,1.4528,2024-10-01
USD,AUD,1.4524,2024-10-02
USD,AUD,1.4619,2024-10-03
USD,AUD,1.4714,2024-10-04
USD,AUD,1.4798,2024-10-07
USD,AUD,1.4822,2024-10-08
USD,AUD,1.4886,2024-10-09
USD,AUD,1.4835,2024-10-10
USD,AUD,1.4814,2024-10-11
USD,AUD,1.4868,2024-10-14
USD,AUD,1.4918,2024-10-15
USD,AUD,1.5,2024-10-16
USD,AUD,1.4933,2024-10-17
USD,AUD,1.491,2024-10-18
USD,AUD,1.5018,2024-10-21
USD,AUD,1.4967,2024-10-22
USD,AUD,1.5074,2024-10-23
USD,AUD,1.5059,2024-10-24
USD,AUD,1.5143,2024-10-25
USD,AUD,1.519,2024-10-28
USD,AUD,1.5243,2024-10-29
USD,AUD,1.5215,2024-10-30
USD,AUD,1.5194,2024-10-31
USD,AUD,1.5244,2024-11-01
USD,AUD,1.5187,2024-11-04
USD,AUD,1.5064,2024-11-05
USD,AUD,1.5221,2024-11-06
USD,AUD,1.4972,2024-11-07
USD,AUD,1.5191,2024-11-08
USD,AUD,1.5209,2024-11-11
USD,AUD,1.5306,2024-11-12
USD,AUD,1.5419,2024-11-13
USD,AUD,1.5496,2024-11-14
USD,AUD,1.5475,2024-11-15
USD,AUD,1.5367,2024-11-18
USD,AUD,1.5311,2024-11-19
USD,AUD,1.5372,2024-11-20
USD,AUD,1.5358,2024-11-21
USD,AUD,1.5381,2024-11-22
USD,AUD,1.5375,2024-11-25
USD,AUD,1.5447,2024-11-26
USD,AUD,1.5392,2024-11-27
USD,AUD,1.5386,2024-11-28
USD,AUD,1.5357,2024-11-29
USD,AUD,1.5447,2024-12-02
USD,AUD,1.5418,2024-12-03
USD,AUD,1.5551,2024-12-04
USD,AUD,1.5498,2024-12-05
USD,AUD,1.5651,2024-12-06
USD,AUD,1.5529,2024-12-09
USD,AUD,1.568,2024-12-10
USD,AUD,1.5701,2024-12-11
USD,AUD,1.5703,2024-12-12
USD,AUD,1.5716,2024-12-13
USD,AUD,1.5696,2024-12-16
USD,AUD,1.5777,2024-12-17
USD,AUD,1.6083,2024-12-18
USD,AUD,1.603,2024-12-19
USD,AUD,1.5999,2024-12-20
USD,AUD,1.6004,2024-12-23
USD,AUD,1.6031,2024-12-24
USD,AUD,1.6026,2024-12-25
USD,AUD,1.6076,2024-12-26
USD,AUD,1.6083,2024-12-27
USD,AUD,1.6075,2024-12-30
USD,AUD,1.6161,2024-12-31
USD,AUD,1.6153,2025-01-01
USD,AUD,1.612,2025-01-02
USD,AUD,1.6093,2025-01-03
USD,AUD,1.6011,2025-01-06
USD,AUD,1.6052,2025-01-07
USD,AUD,1.6089,2025-01-08
USD,AUD,1.6141,2025-01-09
USD,AUD,1.6266,2025-01-10
USD,AUD,1.6187,2025-01-13
USD,AUD,1.6144,2025-01-14
USD,AUD,1.606,2025-01-15
USD,AUD,1.6096,2025-01-16
USD,AUD,1.6149,2025-01-17
USD,AUD,1.5938,2025-01-20
USD,AUD,1.5939,2025-01-21
USD,AUD,1.594,2025-01-22
USD,AUD,1.591,2025-01-23
USD,AUD,1.5844,2025-01-24
USD,AUD,1.5892,2025-01-27
USD,AUD,1.5992,2025-01-28
USD,AUD,1.6048,2025-01-29
USD,AUD,1.6106,2025-01-30
USD,AUD,1.6098,2025-01-31
USD,AUD,1.606,2025-02-03
USD,AUD,1.5989,2025-02-04
USD,AUD,1.591,2025-02-05
USD,AUD,1.5915,2025-02-06
USD,AUD,1.5945,2025-02-07
USD,AUD,1.5931,2025-02-10
USD,AUD,1.5887,2025-02-11
USD,AUD,1.5922,2025-02-12
USD,AUD,1.5829,2025-02-13
USD,AUD,1.5743,2025-02-14
USD,AUD,1.5734,2025-02-17
USD,AUD,1.5742,2025-02-18
USD,AUD,1.5761,2025-02-19
USD,AUD,1.5624,2025-02-20
USD,AUD,1.5729,2025-02-21
USD,AUD,1.5748,2025-02-24
USD,AUD,1.5762,2025-02-25
USD,AUD,1.5857,2025-02-26
USD,AUD,1.6036,2025-02-27
USD,AUD,1.6107,2025-02-28
USD,AUD,1.6065,2025-03-03
USD,AUD,1.5942,2025-03-04
USD,AUD,1.5784,2025-03-05
USD,AUD,1.579,2025-03-06
USD,AUD,1.5859,2025-03-07
USD,AUD,1.5928,2025-03-10
USD,AUD,1.5877,2025-03-11
USD,AUD,1.5822,2025-03-12
USD,AUD,1.5911,2025-03-13
USD,AUD,1.5814,2025-03-14
USD,AUD,1.5664,2025-03-17
USD,AUD,1.572,2025-03-18
USD,AUD,1.573,2025-03-19
USD,AUD,1.5867,2025-03-20
USD,AUD,1.5947,2025-03-21
USD,AUD,1.591,2025-03-24
USD,AUD,1.5864,2025-03-25
USD,AUD,1.5877,2025-03-26
USD,AUD,1.5862,2025-03-27
USD,AUD,1.5905,2025-03-28
USD,AUD,1.6007,2025-03-31
USD,AUD,1.5929,2025-04-01
USD,AUD,1.5873,2025-04-02
USD,AUD,1.5802,2025-04-03
USD,AUD,1.6546,2025-04-04
USD,AUD,1.6709,2025-04-07
USD,AUD,1.6788,2025-04-08
USD,AUD,1.6253,2025-04-09
USD,AUD,1.6067,2025-04-10
USD,AUD,1.5906,2025-04-11
USD,AUD,1.5804,2025-04-14
USD,AUD,1.5762,2025-04-15
USD,AUD,1.5698,2025-04-16
USD,AUD,1.5653,2025-04-17
USD,AUD,1.5684,2025-04-18
USD,AUD,1.5584,2025-04-21
USD,AUD,1.571,2025-04-22
USD,AUD,1.5725,2025-04-23
USD,AUD,1.56,2025-04-24
USD,AUD,1.5635,2025-04-25
USD,AUD,1.5547,2025-04-28
USD,AUD,1.5665,2025-04-29
USD,AUD,1.5619,2025-04-30
USD,AUD,1.5666,2025-05-01
USD,AUD,1.5518,2025-05-02
USD,AUD,1.5459,2025-05-05
USD,AUD,1.5397,2025-05-06
USD,AUD,1.5564,2025-05-07
USD,AUD,1.5625,2025-05-08
USD,AUD,1.5596,2025-05-09
USD,AUD,1.5586,2025-05-11
USD,AUD,1.5694,2025-05-12
USD,AUD,1.5454,2025-05-13
USD,AUD,1.5556,2025-05-14
USD,AUD,1.5608,2025-05-15
USD,AUD,1.5618,2025-05-16
USD,AUD,1.5605,2025-05-18
USD,AUD,1.5487,2025-05-19
USD,AUD,1.5567,2025-05-20
USD,AUD,1.5535,2025-05-21
USD,AUD,1.56,2025-05-22
USD,AUD,1.5398,2025-05-23
USD,AUD,1.5413,2025-05-25
USD,AUD,1.5419,2025-05-26
USD,AUD,1.5519,2025-05-27
USD,AUD,1.556,2025-05-28
USD,AUD,1.5525,2025-05-29
USD,AUD,1.5549,2025-05-30
USD,AUD,1.5538,2025-06-01
USD,AUD,1.5394,2025-06-02
USD,AUD,1.5475,2025-06-03
USD,AUD,1.5404,2025-06-04
USD,AUD,1.5371,2025-06-05
USD,AUD,1.5403,2025-06-06
USD,AUD,1.5389,2025-06-08
USD,AUD,1.5345,2025-06-09
USD,AUD,1.5333,2025-06-10
USD,AUD,1.5384,2025-06-11
USD,AUD,1.5306,2025-06-12
USD,AUD,1.5413,2025-06-13
USD,AUD,1.5411,2025-06-15
USD,AUD,1.5329,2025-06-16
USD,AUD,1.5444,2025-06-17
USD,AUD,1.5366,2025-06-18
USD,AUD,1.5429,2025-06-19
USD,AUD,1.5503,2025-06-20
USD,AUD,1.5545,2025-06-22
USD,AUD,1.5481,2025-06-23
USD,AUD,1.5411,2025-06-24
USD,AUD,1.5354,2025-06-25
USD,AUD,1.5276,2025-06-26
USD,AUD,1.5313,2025-06-27
USD,AUD,1.5288,2025-06-29
USD,AUD,1.5196,2025-06-30
USD,AUD,1.5191,2025-07-01
USD,AUD,1.519,2025-07-02
USD,AUD,1.5217,2025-07-03
USD,AUD,1.526,2025-07-04
USD,AUD,1.5239,2025-07-06
USD,AUD,1.5406,2025-07-07
USD,AUD,1.5313,2025-07-08
USD,AUD,1.5302,2025-07-09
USD,AUD,1.518,2025-07-10
USD,AUD,1.5198,2025-07-11
USD,AUD,1.523,2025-07-13
USD,AUD,1.5279,2025-07-14
USD,AUD,1.535,2025-07-15
USD,AUD,1.5318,2025-07-16
USD,AUD,1.5412,2025-07-17
USD,AUD,1.5361,2025-07-18
USD,AUD,1.5337,2025-07-20
USD,AUD,1.5326,2025-07-21
USD,AUD,1.5257,2025-07-22
USD,AUD,1.5148,2025-07-23
USD,AUD,1.5175,2025-07-24
USD,AUD,1.5229,2025-07-25
USD,AUD,1.5214,2025-07-27
USD,AUD,1.5335,2025-07-28
USD,AUD,1.5362,2025-07-29
USD,AUD,1.5545,2025-07-30
USD,AUD,1.5563,2025-07-31
USD,AUD,1.5439,2025-08-01
USD,AUD,1.5458,2025-08-03
USD,AUD,1.5461,2025-08-04
USD,AUD,1.545,2025-08-05
USD,AUD,1.5378,2025-08-06
USD,AUD,1.5328,2025-08-07
USD,AUD,1.5322,2025-08-08
USD,AUD,1.5326,2025-08-10
USD,AUD,1.5354,2025-08-11
USD,AUD,1.5316,2025-08-12
USD,AUD,1.5278,2025-08-13
USD,AUD,1.5398,2025-08-14
USD,AUD,1.5368,2025-08-15
USD,AUD,1.5361,2025-08-17
USD,AUD,1.5405,2025-08-18
USD,AUD,1.5495,2025-08-19
USD,AUD,1.5544,2025-08-20
USD,AUD,1.5575,2025-08-21
USD,AUD,1.5409,2025-08-22
USD,AUD,1.5399,2025-08-24
USD,AUD,1.5426,2025-08-25
USD,AUD,1.5398,2025-08-26
USD,AUD,1.5371,2025-08-27
USD,AUD,1.531,2025-08-28
USD,AUD,1.529,2025-08-29
USD,AUD,1.5265,2025-08-31
USD,AUD,1.5261,2025-09-01
USD,AUD,1.5339,2025-09-02
USD,AUD,1.528,2025-09-03
USD,AUD,1.5343,2025-09-04
USD,AUD,1.5251,2025-09-05
USD,AUD,1.5253,2025-09-07
USD,AUD,1.5173,2025-09-08
USD,AUD,1.5185,2025-09-09
USD,AUD,1.512,2025-09-10
USD,AUD,1.5019,2025-09-11
USD,AUD,1.5038,2025-09-12
USD,AUD,1.5033,2025-09-14
USD,AUD,1.4995,2025-09-15
USD,AUD,1.4959,2025-09-16
USD,AUD,1.5031,2025-09-17
USD,AUD,1.5125,2025-09-18
USD,AUD,1.5165,2025-09-19
USD,AUD,1.5138,2025-09-21
USD,AUD,1.5153,2025-09-22
USD,AUD,1.5155,2025-09-23
USD,AUD,1.5191,2025-09-24
USD,AUD,1.529,2025-09-25
USD,AUD,1.5276,2025-09-26
USD,AUD,1.5263,2025-09-28
USD,AUD,1.5205,2025-09-29
USD,AUD,1.5121,2025-09-30
USD,AUD,1.5122,2025-10-01
